"","state","pollster","start.date","end.date","entry.date.time..et.","number.of.observations","population","mode","trump","clinton","other","undecided","pollster.url","source.url","partisan","affiliation","question.text","question.iteration","johnson","mcmullin"
"1754","FL","CNN","2016-10-27","2016-11-01","2016-11-02T16:21:23Z",773,"Likely Voters","Live Phone",47,49,2,0,"http://elections.huffingtonpost.com/pollster/polls/cnn-26622","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html","Nonpartisan","None","Suppose that the presidential election were being held today and you had to choose between Hillary Clinton and Tim Kaine as the Democratic Party’s candidates, Donald Trump and Mike Pence as the Republican Party’s candidates, Gary Johnson and Bill Weld as the Libertarian Party’s candidates, and Jill Stein and Ajamu Baraka as the Green Party’s candidate.  Who would you be more likely to vote for?",1,3,NA
"1755","FL","CNN","2016-10-27","2016-11-01","2016-11-02T16:21:23Z",773,"Likely Voters","Live Phone",49,50,1,0,"http://elections.huffingtonpost.com/pollster/polls/cnn-26622","http://www.cnn.com/2016/11/02/politics/polls-hillary-clinton-donald-trump-florida-pennsylvania-nevada-arizona/index.html","Nonpartisan","None","Now suppose that the presidential candidates on the ballot in your state included only Hillary Clinton as the Democratic Party’s candidate, and Donald Trump as the Republican Party’s candidate, who would you be more likely to vote for?",2,NA,NA
"1756","FL","Gravis Marketing/One America News ","2016-10-31","2016-10-31","2016-11-04T04:07:52Z",1995,"Registered Voters","IVR/Online",49,51,NA,NA,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-26689","http://www.oann.com/pollflorida/","Sponsor","Rep","",1,NA,NA
"1757","FL","Gravis Marketing/One America News ","2016-10-31","2016-10-31","2016-11-04T04:07:52Z",1995,"Registered Voters","IVR/Online",46,49,1,1,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-one-america-news-26689","http://www.oann.com/pollflorida/","Sponsor","Rep","",2,2,NA
"1758","FL","SurveyMonkey","2016-10-25","2016-10-31","2016-11-01T13:54:44Z",2809,"Likely Voters","Internet",45,46,2,2,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26596","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1,5,NA
"1759","FL","Remington Research Group (R)/Axiom Strategies","2016-10-30","2016-10-30","2016-10-31T14:10:49Z",989,"Likely Voters","IVR/Live Phone",48,44,2,4,"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26566","http://axiomstrategies.com/abc/","Sponsor","Rep","",1,2,NA
"1760","FL","TargetSmart/William & Mary","2016-10-25","2016-10-30","2016-11-02T02:37:03Z",718,"Likely Voters","Live Phone/Online",40,48,7,0,"http://elections.huffingtonpost.com/pollster/polls/targetsmart-william-mary-26609","https://www.scribd.com/document/329698329/TargetSmart-William-Mary-Florida-Poll-of-Early-and-Likely-Voters","Nonpartisan","None","",1,3,NA
"1761","FL","UPI/CVOTER","2016-10-23","2016-10-29","2016-11-01T12:54:47Z",408,"Likely Voters","Internet",47,48,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26592","https://www.documentcloud.org/documents/3210977-UPI-CVoter-2016-StatePoll-October-29.html","Nonpartisan","None","",1,NA,NA
"1762","FL","NYT Upshot/Siena","2016-10-25","2016-10-27","2016-10-30T12:24:13Z",814,"Likely Voters","Live Phone",46,42,3,6,"http://elections.huffingtonpost.com/pollster/polls/nyt-upshot-siena-26543","http://files.constantcontact.com/9c83fb30501/b45c5035-6714-426e-9980-4d1dcb0bce8f.pdf","Nonpartisan","None","",1,4,NA
"1763","FL","NYT Upshot/Siena","2016-10-25","2016-10-27","2016-10-30T12:24:13Z",814,"Likely Voters","Live Phone",48,45,0,7,"http://elections.huffingtonpost.com/pollster/polls/nyt-upshot-siena-26543","http://files.constantcontact.com/9c83fb30501/b45c5035-6714-426e-9980-4d1dcb0bce8f.pdf","Nonpartisan","None","",2,NA,NA
"1764","FL","Dixie Strategies (R)","2016-10-25","2016-10-26","2016-11-03T13:11:33Z",698,"Likely Voters","IVR/Live Phone",46,42,3,6,"http://elections.huffingtonpost.com/pollster/polls/dixie-strategies-r-26654","http://big.assets.huffingtonpost.com/DIXIEFL161026.pdf","Pollster","Rep","If the Presidential election were held today, for whom would you vote?",1,2,NA
"1765","FL","NBC/WSJ/Marist","2016-10-25","2016-10-26","2016-10-30T13:10:20Z",779,"Likely Voters","Live Phone",46,46,7,1,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-26544","http://www.nbcnews.com/meet-the-press/polls-clinton-leads-trump-north-carolina-dead-heat-florida-n675246","Nonpartisan","None","",1,NA,NA
"1766","FL","NBC/WSJ/Marist","2016-10-25","2016-10-26","2016-10-30T13:10:20Z",779,"Likely Voters","Live Phone",44,45,5,2,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-26544","http://www.nbcnews.com/meet-the-press/polls-clinton-leads-trump-north-carolina-dead-heat-florida-n675246","Nonpartisan","None","",2,5,NA
"1767","FL","Saint Leo University","2016-10-22","2016-10-26","2016-10-28T17:07:05Z",1028,"Likely Voters","Internet",37,50,1,7,"http://elections.huffingtonpost.com/pollster/polls/saint-leo-university-26528","http://polls.saintleo.edu/wp-content/uploads/2016/10/SLU-Polling-Institute-October-2016-Florida-Candidate-Races-Report.pdf","Nonpartisan","None","If the November presidential election was held today between Hillary Clinton, Donald Trump, Gary Johnson and Jill Stein, which candidate would you support or which have you already supported in early voting?",1,5,NA
"1768","FL","Saint Leo University","2016-10-22","2016-10-26","2016-10-28T17:07:05Z",1028,"Likely Voters","Internet",35,49,6,8,"http://elections.huffingtonpost.com/pollster/polls/saint-leo-university-26528","http://polls.saintleo.edu/wp-content/uploads/2016/10/SLU-Polling-Institute-October-2016-Florida-Candidate-Races-Report.pdf","Nonpartisan","None","If the November presidential election was held today and Evan McMullin, the Independent Conservative from Utah was also on your ballot, which candidate would you support or which have you supported if you already voted in early voting?",2,4,NA
"1769","FL","UNF","2016-10-20","2016-10-25","2016-10-27T12:50:34Z",786,"Likely Voters","Live Phone",44,46,3,6,"http://elections.huffingtonpost.com/pollster/polls/unf-26492","http://big.assets.huffingtonpost.com/UNF161025.pdf","Nonpartisan","None","",1,NA,NA
"1770","FL","UNF","2016-10-20","2016-10-25","2016-10-27T12:50:34Z",819,"Likely Voters","Live Phone",39,43,3,9,"http://elections.huffingtonpost.com/pollster/polls/unf-26492","http://big.assets.huffingtonpost.com/UNF161025.pdf","Nonpartisan","None","",2,6,NA
"1771","FL","Bloomberg/Selzer","2016-10-21","2016-10-24","2016-10-26T12:10:52Z",953,"Likely Voters","Live Phone",46,45,4,5,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26435","https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rLiMdBxU.ddw/v0","Nonpartisan","None","",1,NA,NA
"1772","FL","Bloomberg/Selzer","2016-10-21","2016-10-24","2016-10-26T12:10:52Z",953,"Likely Voters","Live Phone",45,43,3,6,"http://elections.huffingtonpost.com/pollster/polls/bloomberg-selzer-26435","https://assets.bwbx.io/documents/users/iqjWHBFdfxIU/rLiMdBxU.ddw/v0","Nonpartisan","None","",2,4,NA
"1773","FL","SurveyUSA/Bay News 9/News 13","2016-10-20","2016-10-24","2016-10-26T12:50:08Z",1251,"Likely Voters","IVR/Online",45,48,4,0,"http://elections.huffingtonpost.com/pollster/polls/surveyusa-bay-news-9-news-13-26439","http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/cfn/2016/10/25/florida_decides_polls_presidential_race.html","Nonpartisan","None","",1,2,NA
"1774","FL","SurveyMonkey","2016-10-18","2016-10-24","2016-10-26T13:40:15Z",2765,"Likely Voters","Internet",44,47,2,3,"http://elections.huffingtonpost.com/pollster/polls/surveymonkey-26441","https://www.surveymonkey.com/elections/map?poll=sm-lv-cpsplus","Nonpartisan","None","",1,5,NA
"1775","FL","Remington Research Group (R)/Axiom Strategies","2016-10-20","2016-10-22","2016-10-25T13:35:47Z",1646,"Likely Voters","IVR/Live Phone",46,46,2,5,"http://elections.huffingtonpost.com/pollster/polls/remington-research-group-r-axiom-strategies-26420","http://big.assets.huffingtonpost.com/FLSTATEWIDE.pdf","Sponsor","Rep","",1,2,NA
"1776","FL","CBS/YouGov","2016-10-20","2016-10-21","2016-10-23T15:05:01Z",1042,"Likely Voters","Internet",43,46,4,3,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-26380","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/tczhqlhzzs/FL_Final_20161023.pdf","Nonpartisan","None","",1,3,NA
"1777","FL","Opinion Savvy/Fox 13/Fox 35","2016-10-20","2016-10-20","2016-10-21T18:21:19Z",538,"Likely Voters","IVR/Online",45,49,2,2,"http://elections.huffingtonpost.com/pollster/polls/opinion-savvy-fox-13-fox-35-26361","http://opinionsavvy.com/wp-content/uploads/2016/10/OS-FL-General-10.21.16.pdf","Nonpartisan","None","If the election to determine the next President of the United States were held today and your choices were: Democratic nominee Hillary Clinton; Republican nominee Donald Trump; Libertarian nominee Gary Johnson; and Green Party nominee Jill Stein; for whom would you vote?",1,3,NA
"1778","FL","Lucid/The Times-Picayune","2016-10-17","2016-10-18","2016-10-24T18:47:43Z",892,"Likely Voters","Internet",39,45,2,8,"http://elections.huffingtonpost.com/pollster/polls/lucid-the-times-picayune-26403","http://luc.id/wp-content/uploads/2016/10/Florida-Battleground-Results.pdf","Nonpartisan","None","",1,6,NA
"1779","FL","Quinnipiac","2016-10-10","2016-10-16","2016-10-17T19:04:11Z",660,"Likely Voters","Live Phone",44,48,2,4,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26215","https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2388","Nonpartisan","None","If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1,4,NA
"1780","FL","Quinnipiac","2016-10-10","2016-10-16","2016-10-17T19:04:11Z",660,"Likely Voters","Live Phone",45,49,1,5,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-26215","https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2388","Nonpartisan","None","If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?",2,NA,NA
"1781","FL","UPI/CVOTER","2016-10-09","2016-10-16","2016-10-20T15:34:27Z",401,"Likely Voters","Internet",46,49,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-26296","https://assets.documentcloud.org/documents/3143752/UPI-CVoter-2016-StatePoll-October-16.pdf","Nonpartisan","None","",1,NA,NA
"1782","FL","WashPost/SurveyMonkey","2016-10-08","2016-10-16","2016-10-18T16:52:33Z",1702,"Likely Voters","Internet",47,47,NA,6,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-26240","http://apps.washingtonpost.com/g/page/politics/surveymonkey-15-state-poll/2103/","Nonpartisan","None","",1,NA,NA
"1783","FL","WashPost/SurveyMonkey","2016-10-08","2016-10-16","2016-10-18T16:52:33Z",1702,"Likely Voters","Internet",45,43,3,3,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-26240","http://apps.washingtonpost.com/g/page/politics/surveymonkey-15-state-poll/2103/","Nonpartisan","None","",2,7,NA
"1784","FL","PPP (D)","2016-10-12","2016-10-13","2016-10-14T21:40:06Z",985,"Likely Voters","IVR/Online",42,46,1,6,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-26182","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_FL_104161.pdf","Pollster","Dem","The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein. If the election was today, who would you vote for?",1,5,NA
"1785","FL","PPP (D)","2016-10-12","2016-10-13","2016-10-14T21:40:06Z",985,"Likely Voters","IVR/Online",44,49,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-26182","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_FL_104161.pdf","Pollster","Dem","If you had to choose between just Democrat Hillary Clinton and Republican Donald Trump, who would you vote for?",2,NA,NA
"1786","FL","Gravis Marketing/Breitbart","2016-10-11","2016-10-13","2016-10-16T22:18:19Z",1799,"Registered Voters","IVR/Online",42,46,1,10,"http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-breitbart-26192","http://www.breitbart.com/2016-presidential-race/2016/10/15/exclusive-breitbartgravis-poll-clinton-up-4-points-over-trump-in-florida/","Nonpartisan","None","If the election was held today, who would be your choice for president?",1,2,NA
"1787","FL","Ipsos/Reuters","2016-09-23","2016-10-13","2016-10-21T12:42:39Z",1799,"Likely Voters","Internet",42,48,NA,10,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-26344","http://big.assets.huffingtonpost.com/2016ReutersSOTN10.17.16.pdf","Nonpartisan","None","",1,NA,NA
"1788","FL","Opinion Savvy","2016-10-10","2016-10-11","2016-10-12T17:47:31Z",533,"Likely Voters","IVR/Online",44,47,1,3,"http://elections.huffingtonpost.com/pollster/polls/opinion-savvy-26149","http://opinionsavvy.com/wp-content/uploads/2016/10/OS-FL-General-10.12.16.pdf","Nonpartisan","None","If the election to determine the next President of the United States were held today and your choices were: Democratic nominee Hillary Clinton; Republican nominee Donald Trump; Libertarian nominee Gary Johnson; and Green Party nominee Jill Stein; for whom would you vote?",1,5,NA
"1789","FL","Florida Atlantic University","2016-10-05","2016-10-09","2016-10-13T15:04:31Z",500,"Likely Voters","IVR/Online",43,49,0,7,"http://elections.huffingtonpost.com/pollster/polls/florida-atlantic-university-26157","http://big.assets.huffingtonpost.com/FAU.pdf","Nonpartisan","None","",1,1,NA
"1790","FL","NBC/WSJ/Marist","2016-10-03","2016-10-05","2016-10-09T14:02:15Z",700,"Likely Voters","Live Phone",44,46,7,3,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-26011","http://www.nbcnews.com/politics/2016-election/polls-clinton-ahead-florida-pennsylvania-n662076","Nonpartisan","None","",1,NA,NA
"1791","FL","NBC/WSJ/Marist","2016-10-03","2016-10-05","2016-10-09T14:02:15Z",700,"Likely Voters","Live Phone",42,45,4,4,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-marist-26011","http://www.nbcnews.com/politics/2016-election/polls-clinton-ahead-florida-pennsylvania-n662076","Nonpartisan","None","",2,5,NA
"1792","FL","UNF","2016-09-27","2016-10-04","2016-10-06T12:33:28Z",661,"Likely Voters","Live Phone",40,47,4,9,"http://elections.huffingtonpost.com/pollster/polls/unf-25974","http://www.unf.edu/coas/porl/2016_Florida_Fall_Statewide_Presidential_Poll.aspx","Nonpartisan","None","",1,NA,NA
"1793","FL","UNF","2016-09-27","2016-10-04","2016-10-06T12:33:28Z",686,"Likely Voters","Live Phone",38,41,5,10,"http://elections.huffingtonpost.com/pollster/polls/unf-25974","http://www.unf.edu/coas/porl/2016_Florida_Fall_Statewide_Presidential_Poll.aspx","Nonpartisan","None","",2,6,NA
"1794","FL","Quinnipiac","2016-09-27","2016-10-02","2016-10-03T18:30:48Z",545,"Likely Voters","Live Phone",41,46,2,5,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25842","https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2384","Nonpartisan","None","If the presidential election were being held today, and the candidates were Hillary Clinton and Tim Kaine the Democrats, Donald Trump and Mike Pence the Republicans, Gary Johnson and Bill Weld the Libertarians, and Jill Stein and Ajamu Baraka the Green party candidates, for whom would you vote?",1,5,NA
"1795","FL","Quinnipiac","2016-09-27","2016-10-02","2016-10-03T18:30:48Z",545,"Likely Voters","Live Phone",44,49,1,6,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25842","https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2384","Nonpartisan","None","If the only candidates were Hillary Clinton and Tim Kaine the Democrats and Donald Trump and Mike Pence the Republicans, for whom would you vote?",2,NA,NA
"1796","FL","UPI/CVOTER","2016-09-19","2016-10-02","2016-10-04T12:51:18Z",785,"Likely Voters","Internet",47,46,5,NA,"http://elections.huffingtonpost.com/pollster/polls/upi-cvoter-25906","https://www.documentcloud.org/documents/3118423-UPI-CVoter-2016-StatePoll-October-3-1.html","Nonpartisan","None","",1,NA,NA
"1797","FL","Opinion Savvy/Fox 13/Fox 35","2016-09-28","2016-09-29","2016-09-30T15:23:12Z",619,"Likely Voters","IVR/Online",46,47,2,1,"http://elections.huffingtonpost.com/pollster/polls/opinion-savvy-fox-13-fox-35-25814","http://opinionsavvy.com/2016/09/30/poll-clinton-leads-by-1-in-fl/","Nonpartisan","None","If the election to determine the next President of the United States were held today and your choices were: Democratic nominee Hillary Clinton; Republican nominee Donald Trump; Libertarian nominee Gary Johnson; and Green Party nominee Jill Stein; for whom would you vote?",1,4,NA
"1798","FL","Mason-Dixon","2016-09-27","2016-09-29","2016-09-30T11:06:34Z",820,"Likely Voters","Live Phone",42,46,1,4,"http://elections.huffingtonpost.com/pollster/polls/mason-dixon-25811","http://www.politico.com/states/florida/story/2016/09/clinton-leads-trump-by-4-in-post-debate-fla-poll-105967","Nonpartisan","None","",1,7,NA
"1799","FL","PPP (D-Vote Vets Action Fund)","2016-09-27","2016-09-28","2016-09-29T12:24:35Z",826,"Likely Voters","IVR/Online",43,45,1,8,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-vote-vets-action-fund-25796","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_BattlegroundStates_92916.pdf","Pollster","Dem","The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, and Green Party candidate Jill Stein. If the election was today, who would you vote for?",1,3,NA
"1800","FL","PPP (D-Vote Vets Action Fund)","2016-09-27","2016-09-28","2016-09-29T12:24:35Z",826,"Likely Voters","IVR/Online",45,48,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-vote-vets-action-fund-25796","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_BattlegroundStates_92916.pdf","Pollster","Dem","If you had to choose between just Democrat Hillary Clinton and Republican Donald Trump, who would you vote for?",2,NA,NA
"1801","FL","Ipsos/Reuters","2016-09-02","2016-09-22","2016-09-26T18:43:11Z",1167,"Likely Voters","Internet",45,49,NA,6,"http://elections.huffingtonpost.com/pollster/polls/ipsos-reuters-25685","http://big.assets.huffingtonpost.com/ipsos926.pdf","Nonpartisan","None","",1,NA,NA
"1802","FL","Suffolk","2016-09-19","2016-09-21","2016-09-22T16:13:34Z",500,"Likely Voters","Live Phone",45,44,1,8,"http://elections.huffingtonpost.com/pollster/polls/suffolk-25618","http://www.suffolk.edu/academics/10740.php","Nonpartisan","None","Florida’s presidential ballot may include Libertarian Gary Johnson and Green Party candidate Jill Stein. If the general election was held today and the candidates were Democrat Hillary Clinton, Republican Donald Trump, Green Party Jill Stein, or Libertarian Gary Johnson, for whom will you vote or lean toward?",1,3,NA
"1803","FL","Cherry (R-Florida Chamber of Commerce)","2016-09-15","2016-09-20","2016-09-27T16:43:47Z",617,"Likely Voters","Live Phone",41,43,2,6,"http://elections.huffingtonpost.com/pollster/polls/cherry-r-florida-chamber-of-commerce-25725","http://www.flchamber.com/new-florida-chamber-of-commerce-statewide-poll-shows-presidential-race-too-close-to-call-in-florida/","Pollster","Rep","",1,8,NA
"1804","FL","Monmouth University","2016-09-16","2016-09-19","2016-09-20T17:03:33Z",400,"Likely Voters","Live Phone",41,46,2,5,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25584","http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_FL_092016/","Nonpartisan","None","If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?",1,6,NA
"1805","FL","Saint Leo University","2016-09-10","2016-09-16","2016-09-21T18:01:48Z",475,"Likely Voters","Internet",44,49,2,NA,"http://elections.huffingtonpost.com/pollster/polls/saint-leo-university-25599","http://polls.saintleo.edu/wp-content/uploads/2016/09/SLU-September-2016-Poll_Complete-Findings.pdf","Nonpartisan","None","If the Presidential election was held today between Hillary Clinton and Donald Trump, Gary Johnson and Jill Stein, which candidate would you support?",1,6,NA
"1806","FL","NYT Upshot/Siena","2016-09-10","2016-09-14","2016-09-19T11:27:58Z",867,"Likely Voters","Live Phone",43,43,3,10,"http://elections.huffingtonpost.com/pollster/polls/nyt-upshot-siena-25524","https://www.siena.edu/assets/files/news/FLUpshot0916_159_Crosstabs.pdf","Nonpartisan","None","",1,NA,NA
"1807","FL","NYT Upshot/Siena","2016-09-10","2016-09-14","2016-09-19T11:27:58Z",867,"Likely Voters","Live Phone",40,41,11,8,"http://elections.huffingtonpost.com/pollster/polls/nyt-upshot-siena-25524","https://www.siena.edu/assets/files/news/FLUpshot0916_159_Crosstabs.pdf","Nonpartisan","None","",2,NA,NA
"1808","FL","CNN","2016-09-07","2016-09-12","2016-09-14T20:31:54Z",788,"Likely Voters","Live Phone",47,44,1,1,"http://elections.huffingtonpost.com/pollster/polls/cnn-25493","http://www.cnn.com/2016/09/14/politics/cnn-orc-poll-florida-ohio-donald-trump-hillary-clinton/index.html","Nonpartisan","None","Now suppose that the presidential candidates on the ballot in your state included Hillary Clinton as the Democratic Party’s candidate, Donald Trump as the Republican Party’s candidate, Gary Johnson as the Libertarian Party candidate, and Jill Stein as the Green Party candidate, who would you be more likely to vote for?",1,6,NA
"1809","FL","CNN","2016-09-07","2016-09-12","2016-09-14T20:31:54Z",788,"Likely Voters","Live Phone",50,46,3,0,"http://elections.huffingtonpost.com/pollster/polls/cnn-25493","http://www.cnn.com/2016/09/14/politics/cnn-orc-poll-florida-ohio-donald-trump-hillary-clinton/index.html","Nonpartisan","None","Suppose that the presidential election were being held today and you had to choose between Hillary Clinton and Tim Kaine as the Democratic Party’s candidates, and Donald Trump and Mike Pence as the Republican Party’s candidates. Who would you be more likely to vote for?",2,NA,NA
"1810","FL","CBS/YouGov","2016-09-07","2016-09-09","2016-09-11T17:50:16Z",1193,"Likely Voters","Internet",42,44,4,6,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-25448","https://www.scribd.com/document/323620143/CBS-News-2016-Battleground-Tracker-Florida-September-11-2016#from_embed","Nonpartisan","None","",1,5,NA
"1811","FL","Quinnipiac","2016-08-29","2016-09-07","2016-09-08T18:40:55Z",761,"Likely Voters","Live Phone",47,47,2,5,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25428","https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2376","Nonpartisan","None","If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Donald Trump the Republican, for whom would you vote? As of today, do you lean more toward Clinton or Trump?",1,NA,NA
"1812","FL","Quinnipiac","2016-08-29","2016-09-07","2016-09-08T18:40:55Z",761,"Likely Voters","Live Phone",43,43,2,3,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-25428","https://www.qu.edu/news-and-events/quinnipiac-university-poll/2016-presidential-swing-state-polls/release-detail?ReleaseID=2376","Nonpartisan","None","If the election for President were being held today, and the candidates were Hillary Clinton the Democrat, Donald Trump the Republican, Gary Johnson the Libertarian, and Jill Stein the Green party candidate, for whom would you vote?",2,8,NA
"1813","FL","PPP (D)","2016-09-04","2016-09-06","2016-09-07T14:57:28Z",744,"Likely Voters","IVR/Online",44,43,2,6,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-25412","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_FL_90716.pdf","Pollster","Dem","The candidates for President are Democrat Hillary Clinton, Republican Donald Trump, Libertarian Gary Johnson, Green Party candidate Jill Stein, and independent Evan McMullin. If the election was today, who would you vote for?",1,5,NA
"1814","FL","PPP (D)","2016-09-04","2016-09-06","2016-09-07T14:57:28Z",744,"Likely Voters","IVR/Online",46,47,NA,7,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-25412","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_FL_90716.pdf","Pollster","Dem","If you had to choose between just Democrat Hillary Clinton and Republican Donald Trump, who would you vote for?",2,NA,NA
"1815","FL","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T11:56:50Z",3287,"Registered Voters","Internet",44,46,NA,10,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25348","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",1,NA,NA
"1816","FL","WashPost/SurveyMonkey","2016-08-09","2016-09-01","2016-09-06T11:56:50Z",3287,"Registered Voters","Internet",40,42,3,6,"http://elections.huffingtonpost.com/pollster/polls/washpost-surveymonkey-25348","http://apps.washingtonpost.com/g/page/politics/washington-post-surveymonkey-50-state-poll/2086/","Nonpartisan","None","",2,10,NA
"1817","FL","ICITIZEN","2016-08-18","2016-08-24","2016-08-26T14:27:18Z",600,"Registered Voters","Internet",37,42,6,8,"http://elections.huffingtonpost.com/pollster/polls/icitizen-25269","https://icitizen.com/wp-content/uploads/2016/08/Florida-Poll-%E2%80%93-August-Toplines.pdf","Nonpartisan","None","",1,8,NA
"1818","FL","Cherry (R-Florida Chamber of Commerce)","2016-08-17","2016-08-22","2016-08-25T13:07:38Z",608,"Likely Voters","Live Phone",44,43,7,5,"http://elections.huffingtonpost.com/pollster/polls/cherry-r-florida-chamber-of-commerce-25255","http://www.flchamber.com/politicians-parties-and-plaintiff-trial-lawyers-are-unknown-or-unliked-in-new-florida-chamber-of-commerce-statewide-poll/","Pollster","Rep","",1,NA,NA
"1819","FL","Cherry (R-Florida Chamber of Commerce)","2016-08-17","2016-08-22","2016-08-25T13:07:38Z",608,"Likely Voters","Live Phone",44,41,2,4,"http://elections.huffingtonpost.com/pollster/polls/cherry-r-florida-chamber-of-commerce-25255","http://www.flchamber.com/politicians-parties-and-plaintiff-trial-lawyers-are-unknown-or-unliked-in-new-florida-chamber-of-commerce-statewide-poll/","Pollster","Rep","",2,9,NA
"1820","FL","Saint Leo University","2016-08-14","2016-08-18","2016-08-23T18:02:53Z",1380,"Likely Voters","Internet",38,52,2,NA,"http://elections.huffingtonpost.com/pollster/polls/saint-leo-university-25244","http://polls.saintleo.edu/survey-florida-looks-like-it-will-support-clinton-for-president/","Nonpartisan","None","",1,8,NA
"1821","FL","Monmouth University","2016-08-12","2016-08-15","2016-08-16T17:31:41Z",402,"Likely Voters","Live Phone",39,48,2,5,"http://elections.huffingtonpost.com/pollster/polls/monmouth-university-25187","http://www.monmouth.edu/polling-institute/reports/MonmouthPoll_FL_081616.asp","Nonpartisan","None","If the election for President was today, would you vote for Donald Trump the Republican, Hillary Clinton the Democrat, Gary Johnson the Libertarian, or Jill Stein of the Green Party?",1,6,NA
"1822","FL","CBS/YouGov","2016-08-10","2016-08-12","2016-08-14T14:53:19Z",1194,"Likely Voters","Internet",40,45,4,4,"http://elections.huffingtonpost.com/pollster/polls/cbs-yougov-25156","http://www.cbsnews.com/news/poll-hillary-clinton-up-florida-new-hampshire-extends-lead-electoral-map/","Nonpartisan","None","",1,5,NA
